ENV,REP,GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
E3,2,HD3184,74,96,22,69,8.6,0.83,34,285,237,754,24.41
E3,2,HD3252,70,97,27,68.66666667,9.15,0.922,36,280,258,1043,25.61
E3,2,DW1630,71,95,24,71,9.8,0.91,35,320,291,1110,26
E3,2,HD2932,70,95,25,63.33333333,8.7,0.85,36,280,238,1042,23.61
E3,2,DW1631,74,93,19,65.66666667,8.3,0.89,37,265,236,1016,24.05
E3,2,DW1632,68,88,20,60,8,1.17,38,300,351,943,30.79
E3,2,WR544,46,78,32,68.66666667,8,0.78,34,302,236,513,22.94
E3,2,HD3255,74,99,25,51.33333333,10.2,1.39,39,430,598,1135,35.64
E3,2,DW1633,76,97,21,77,10.2,1.37,40,332,455,976,34.25
E3,2,DW1634,68,96,28,67,8.9,1.36,41,453,616,1023,33.17
E3,2,DW1635,74,93,19,65.33333333,9.5,1.383,41,470,650,736,33.73
E3,2,HD3090,70,99,29,63.66666667,7.2,1.22,38,300,366,991,32.11
E3,2,HD3262,69,100,31,80.66666667,8.6,1.5,37,500,750,1223,40.54
E3,2,DW1636,69,94,25,87,9.64,1.71,41,435,744,1008,41.71
E3,2,DW1637,69,99,30,77.66666667,9.23,1.27,40,340,432,708,31.75
E3,2,DW1638,70,98,28,75.33333333,8.32,1.54,28,310,477,995,55
E3,2,DW1639,72,96,24,55.33333333,8.21,0.85,31,280,238,541,27.42
E3,2,DW1640,70,95,25,64,8.9,0.79,32,315,249,721,24.69
E3,2,HD3318,69,99,30,71.66666667,8.65,0.73,30,390,285,741,24.33
E3,2,HD3265,65,97,32,67,9.1,1.115,41,435,485,1140,27.2
E3,2,DW1642,71,93,22,71.33333333,8,1.19,41,470,559,711,29.02
E3,2,DW1643,74,96,22,65.33333333,8.5,1.45,39,310,450,760,37.18
E3,2,DW1644,74,97,23,63.66666667,10.45,1.05,38,344,361,713,27.63
E3,2,DW1645,72,92,20,70,9.9,1.31,48,290,380,512,27.29
E3,2,HD3059,73,95,22,74.33333333,7.64,1.338,39,365,488,756,34.31
E3,2,HD3266,74,97,23,78.66666667,9.85,1.44,37,540,778,942,38.92
E3,2,DW1615,74,97,23,70,8.54,1.501,38,420,630,1465,39.5
E3,2,HDCSW18,74,98,24,71.66666667,8.5,1.795,39,350,628,800,46.03
E3,3,HD3171,70,96,26,77.16666667,7.7,0.935,35,315,295,1221,26.71
E3,3,DW1616,73,89,16,68.33333333,9.505,1.115,37.75,307.5,343,830,29.54
E3,3,HD2864,71,96,25,65.5,9.155,0.6525,27,313.5,205,924,24.17
E3,3,HD3086,50,82,32,65.16666667,8.7,0.587,29.9,397.5,233,1021,19.63
E3,3,HD3249,67,93,26,65.83333333,9.35,1.1045,36.95,262.5,290,957,29.89
E3,3,DW1627,60,91,31,64.66666667,8.225,0.598,32.1,332.5,199,759,18.63
E3,3,DW1628,65,91,26,65.91666667,8.9,0.841,34.5,252.5,212,1205,24.38
E3,3,DW1629,66,90,24,70.83333333,7.31,0.62,31.75,241.5,150,1333,19.53
E3,3,HD3184,73,95,22,68.16666667,8.3,0.8345,34.75,282.5,236,752,24.01
E3,3,HD3252,70,97,27,68.66666667,9.025,0.912,36.6,277.5,253,1023,24.92
E3,3,DW1630,71.5,95.5,24,70.66666667,9.65,0.9145,35.5,317,290,1105,25.76
E3,3,HD2932,70,94.5,24.5,63.33333333,8.8,0.8525,35.6,278,237,1022,23.95
E3,3,DW1631,74,92.5,18.5,65.66666667,8.3,0.8745,36.3,270,236,1011,24.09
E3,3,DW1632,69,89,20,60,8.05,1.1335,38.75,292.5,332,923,29.25
E3,3,WR544,46,79,33,68.16666667,7.95,0.754,33.45,291.5,220,508,22.54
E3,3,HD3255,74,99.5,25.5,50.83333333,10.35,1.2945,39.6,435,563,1140,32.69
E3,3,DW1633,76,98,22,77,10.1,1.3485,41,341,460,941,32.89
E3,3,DW1634,68.5,97.5,29,66.83333333,8.9,1.3635,41.5,456.5,622,1023,32.86
E3,3,DW1635,74,94,20,65.83333333,9.45,1.373,41.5,471.5,647,735,33.08
E3,3,HD3090,70,100,30,64,7.1,1.21,38.75,302,365,996,31.23
E3,3,HD3262,69,101,32,81.16666667,8.45,1.425,38.1,515,734,1243,37.4
E3,3,DW1636,69.5,94.5,25,86,9.72,1.7455,43.1,430,751,1058,40.5
E3,3,DW1637,69,100.5,31.5,76.66666667,9.465,1.2585,41.25,345,434,733,30.51
E3,3,DW1638,71,99.5,28.5,74.33333333,8.26,1.57,29,315,495,1000,54.14
E3,3,DW1639,72.5,96.5,24,54.66666667,8.055,0.8535,31.5,285,243,551,27.1
E3,3,DW1640,71.5,97,25.5,63,9,0.7945,32.65,324,257,736,24.33
